row,stim_idx,edit_type,word_orig,in_ctx,in_full_prefix,d_own,d_pos2,d_foreign,d_noinj
313,91,corrupt_det,Edith,False,False,16.32461929321289,10.985793113708496,9.427434921264648,6.418570518493652
314,91,corrupt,"mother""",False,True,3.0061004757881165,-0.0511353015899658,0.1503727436065673,0.907501220703125
314,91,corrupt_det,"""While",False,True,10.187498092651367,-3.8125,-2.6875,-0.875
315,91,corrupt_det,"(""When",False,True,3.875,-9.843749523162842,-12.468749046325684,-6.921875
316,92,corrupt,rock,False,False,5.312500238418579,6.6875,-1.890625,-6.179686546325684
317,92,corrupt_det,"""His",True,True,10.12500023841858,6.8749998807907104,-3.375000476837158,0.1875
318,92,corrupt_det,"""Wings""",True,True,26.364021428409615,3.7703933715820312,-0.79949951171875,-15.70059585571289
319,93,corrupt,Singaporean,False,False,8.750331282615662,-1.7210407257080078,-5.277875900268555,-4.52363395690918
319,93,corrupt_det,Singaporean,False,False,21.15658128261566,10.980130672454834,0.9408740997314452,3.5857410430908203
320,93,corrupt_det,1972,False,False,0.375,0.375,0.125,0.625
322,93,corrupt,.,False,False,17.2109375,1.20703125,1.265625,2.03125
323,93,corrupt,"1985""",False,False,13.038030624389648,-0.2197227478027343,3.1852245330810547,0.5927600860595703
323,93,corrupt_det,"1985""",False,False,1.8445253372192385,0.0601444244384765,0.014200210571289,0.863652229309082
324,94,corrupt_det,American,False,True,18.671874314546585,17.8671875,18.765624046325684,10.953124046325684
325,94,corrupt,bodily,False,False,3.40625,8.640625,1.7421875,0.3359375
325,94,corrupt_det,"(""Second",False,False,12.559704780578612,14.28783893585205,12.61874771118164,6.55899715423584
326,94,corrupt,"on,""",True,True,13.944103181362152,6.371295928955078,4.290163040161133,3.925481796264648
326,94,corrupt_det,"""Put",True,True,11.750000476837158,-7.062500953674316,-16.3125,-9.281249523162842
328,95,corrupt,drug,False,False,17.28607266396284,6.186450958251953,6.453376770019531,13.569119453430176
328,95,corrupt_det,"""After",False,True,15.790810585021973,10.145092010498049,3.945123672485352,1.3284730911254885
329,95,corrupt_det,"(""Mike",False,False,13.441604614257812,3.565431594848633,6.025432586669922,-0.0221977233886718
330,96,corrupt,sports,False,False,17.046874403953552,7.5703125,1.37890625,4.4296875
331,96,corrupt,reliever,False,False,5.810810565948486,4.74890398979187,0.8375530242919922,3.496516227722168
331,96,corrupt_det,"""Over",False,False,8.874999046325684,12.265625,8.4375,5.3671875
334,97,corrupt_det,2008,False,False,3.2241015434265137,4.308393955230713,1.0102052688598633,-0.0978507995605468
336,97,corrupt,.,False,False,20.31250075987191,8.515625,6.109375,5.888671875
337,97,corrupt_det,"(""The",True,True,7.09375,14.6875,9.750000953674316,3.3125
338,97,corrupt,"released""",False,False,1.1814780235290527,2.438678741455078,3.546231269836426,3.5948686599731445
338,97,corrupt_det,"""The",True,True,11.281249046325684,10.4375,6.84375,4.5625
339,98,corrupt,"(""Singapore",False,False,9.000000238418579,1.25,-4.65625,-0.4375
339,98,corrupt_det,"(""Singapore",False,False,0.5625,-9.96875,-13.625000953674316,-5.0625
340,98,corrupt,"""1.",False,False,6.667696475982666,2.0099334716796875,1.1024532318115234,0.964303970336914
