row,stim_idx,claim_idx,n_claims,is_last,edit_type,single_word,error,word_pos,word_orig,word_corrupt,lp_orig,lp_corrupt,n_tok_orig,n_tok_corrupt,d_inj,lp_orig_noinj,lp_corrupt_noinj,d_noinj,d_inj_minus_noinj
415,121,2,3,True,corrupt,True,,13.0,"tribulation""),","bliss""),",-0.04769250750541687,-14.864195823669434,3.0,2.0,14.816503316164017,-15.703546524047852,-18.500078201293945,2.7965316772460938,12.019971638917923
415,121,2,3,True,corrupt_det,True,,21.0,"(""David","(""States",-18.27539825439453,-25.49414825439453,2.0,2.0,7.21875,-17.99993324279785,-22.32805824279785,4.328125,2.890625
416,122,0,3,False,corrupt,True,,17.0,fleet,train,-1.6405960321426392,-12.984346389770508,1.0,1.0,11.343750357627869,-11.182021141052246,-11.463271141052246,0.28125,11.062500357627869
416,122,0,3,False,corrupt_det,True,,4.0,Dutch,Slayer,-0.822330117225647,-23.603580474853516,1.0,1.0,22.78125035762787,-14.46749496459961,-25.40499496459961,10.9375,11.843750357627869
417,122,1,3,False,corrupt,True,,18.0,"F28""","F27""",-1.8285292387008667,-2.034747362136841,4.0,4.0,0.20621812343597412,-3.409881591796875,-4.256197452545166,0.846315860748291,-0.6400977373123169
417,122,1,3,False,corrupt_det,True,,10.0,"DC-3,","DC-10,",-1.6770172119140625,-7.211212635040283,4.0,5.0,5.534195423126221,-2.5141358375549316,-4.816842079162598,2.302706241607666,3.2314891815185547
418,122,2,3,True,corrupt,True,,17.0,"""aircraft""","""trains""",-4.254167556762695,-15.489373207092285,4.0,4.0,11.23520565032959,-20.388357162475586,-20.912456512451172,0.5240993499755859,10.711106300354004
418,122,2,3,True,corrupt_det,True,,2.0,"""F28""","""F35""",-6.484498977661133,-20.94715118408203,5.0,5.0,14.462652206420898,-34.88190460205078,-34.97368240356445,0.09177780151367188,14.370874404907227
419,123,0,3,False,corrupt,True,,13.0,American,British,-0.4146067500114441,-5.66460657119751,1.0,1.0,5.249999821186066,-4.795909881591797,-4.545909881591797,-0.25,5.499999821186066
419,123,0,3,False,corrupt_det,True,,13.0,American,Reason,-0.4146067500114441,-19.58452796936035,1.0,1.0,19.169921219348907,-4.795909881591797,-16.186534881591797,11.390625,7.7792962193489075
